Position (mm);10 x 10 MLC parked X d10cm (LR);10 x 10 MLC parked X d10cm (GT);10 x 10 MLC parked Y d10cm (LR);10 x 10 MLC parked Y d10cm (GT);10 x 10 MLC defined X d10cm (LR);10 x 10 MLC defined X d10cm (GT);10 x 10 MLC defined Y d10cm (LR);10 x 10 MLC defined Y d10cm (GT);10 x 10 MLC defined X d15cm (LR);10 x 10 MLC defined X d15cm (GT);10 x 10 MLC defined Y d15cm (LR);10 x 10 MLC defined Y d15cm (GT);10 x 10 MLC defined X d20cm (LR);10 x 10 MLC defined X d20cm (GT);10 x 10 MLC defined Y d20cm (LR);10 x 10 MLC defined Y d20cm (GT);10 x 10 MLC defined X d25cm (LR);10 x 10 MLC defined X d25cm (GT);10 x 10 MLC defined Y d25cm (LR);10 x 10 MLC defined Y d25cm (GT);5 x 5 MLC parked X d10cm (LR);5 x 5 MLC parked X d10cm (GT);5 x 5 MLC parked Y d10cm (LR);5 x 5 MLC parked Y d10cm (GT);5 x 5 MLC defined X d10cm (LR);5 x 5 MLC defined X d10cm (GT);5 x 5 MLC defined Y d10cm (LR);5 x 5 MLC defined Y d10cm (GT);15 x 15 MLC parked X d10cm (LR);15 x 15 MLC parked X d10cm (GT);15 x 15 MLC parked Y d10cm (LR);15 x 15 MLC parked Y d10cm (GT);15 x 15 MLC defined X d10cm (LR);15 x 15 MLC defined X d10cm (GT);15 x 15 MLC defined Y d10cm (LR);15 x 15 MLC defined Y d10cm (GT)
207;0.006414434;0.0061161;0.007511969;0.00754465;0.004063944;0.00403481;0.005057328;0.004842902;0.006283827;0.00613262;0.005988523;0.006068555;0.008880355;0.008740797;0.008383117;0.008162378;0.011942644;0.011605369;0.011494034;0.011429646;0.003215294;0.003004076;0.00388673;0.003742366;0.00120932;0.001197126;0.002434628;0.002481827;0.011754793;0.011265143;0.013549839;0.013532879;0.009746506;0.009383551;0.010092875;0.009758112
209;0.006114512;0.00585123;0.00736358;0.007378027;0.00395613;0.003892874;0.005124868;0.004893821;0.006094805;0.005973452;0.005881025;0.006070093;0.008631598;0.008491719;0.008239634;0.007950369;0.011600657;0.011241918;0.011139401;0.011071935;0.003043255;0.002815838;0.003760956;0.00365293;0.001189573;0.00115436;0.002624127;0.002568469;0.011374242;0.010897443;0.013243291;0.013229868;0.009503818;0.009155132;0.01003859;0.009637234
211;0.0057397;0.005567487;0.007189262;0.007236657;0.00383139;0.003804837;0.00501658;0.004854933;0.005940753;0.005817095;0.005883718;0.006063148;0.008429285;0.008208981;0.007995915;0.007821206;0.011334152;0.010976695;0.01083997;0.010749949;0.002758187;0.002568267;0.00359313;0.003552452;0.001172918;0.001120515;0.002664087;0.002614294;0.010902914;0.010521718;0.012896169;0.012915198;0.009290098;0.008860976;0.009884506;0.009512088
213;0.005377217;0.005323051;0.007008346;0.007049336;0.003759346;0.003687502;0.004924286;0.004848159;0.005719769;0.005640709;0.006001756;0.006081362;0.008197069;0.008035464;0.007823683;0.007580772;0.011092947;0.010701333;0.010574715;0.010491996;0.002404828;0.002337901;0.003517645;0.003465459;0.001138278;0.001086973;0.002670317;0.00258263;0.010366141;0.010119719;0.012588766;0.012629547;0.009052106;0.008677361;0.009659824;0.009319965
215;0.00501214;0.005031498;0.006881391;0.006896641;0.003643798;0.003653951;0.004813645;0.004785385;0.005580826;0.00547418;0.006226311;0.006096742;0.007979976;0.007826059;0.007646731;0.007466357;0.010702541;0.010435121;0.010333148;0.01022196;0.002069596;0.002129022;0.003433295;0.003348648;0.001112945;0.001070875;0.002626383;0.002522093;0.00990745;0.009714615;0.012313497;0.012289875;0.008816703;0.008466544;0.009433542;0.009126641
217;0.004702865;0.004770272;0.006757355;0.006757615;0.003550207;0.003532617;0.004739097;0.004671493;0.005455753;0.005337943;0.006383125;0.00613785;0.007746954;0.007611929;0.007486058;0.007338885;0.010518867;0.010161098;0.010055592;0.010031392;0.001807038;0.001920414;0.00335402;0.003241757;0.001085039;0.001069178;0.002603437;0.002416846;0.009457746;0.009342902;0.012044261;0.012015494;0.008579183;0.008270395;0.009204356;0.008892891
219;0.004466579;0.004556944;0.006642346;0.006586696;0.003460459;0.0034323;0.004628757;0.004576058;0.005257235;0.005185077;0.006464266;0.006146918;0.007545068;0.007383478;0.007295586;0.007344222;0.010245265;0.009905885;0.009789191;0.009834017;0.001611086;0.001745779;0.003308092;0.003134551;0.001045698;0.001042661;0.002522216;0.002348888;0.00911037;0.008988403;0.011842023;0.011721033;0.008348319;0.008073446;0.008993878;0.008649402
221;0.004300087;0.004329168;0.006498031;0.006456131;0.003373832;0.003357454;0.004510335;0.004449787;0.005151655;0.005088293;0.006348525;0.006114968;0.007353695;0.007221334;0.007180205;0.007329569;0.010029053;0.0096025;0.009583379;0.009518251;0.001508748;0.001589496;0.003225484;0.003014247;0.001032038;0.00100231;0.002468893;0.002243444;0.008846313;0.008719585;0.01153344;0.01146168;0.008127379;0.007854095;0.008784668;0.008402444
223;0.004208616;0.004178186;0.00632764;0.006273106;0.003288996;0.003251093;0.004382127;0.004296027;0.004991114;0.004950143;0.006218599;0.006112322;0.007126593;0.007042793;0.007213749;0.00733076;0.009761706;0.00941494;0.009337062;0.009357456;0.001431652;0.001465446;0.003114239;0.00290747;0.001022654;0.000975976;0.002371823;0.002116772;0.008623693;0.008419316;0.011235697;0.01114118;0.007923635;0.007671947;0.008507218;0.008153218
225;0.004119867;0.004014578;0.006173693;0.006081619;0.003186285;0.003185379;0.004211503;0.004137466;0.004857907;0.004788532;0.0060864;0.005956313;0.006940622;0.00685133;0.007251447;0.007273934;0.009442797;0.009211726;0.009173804;0.009166301;0.001384577;0.001386195;0.002962775;0.002793805;0.001018379;0.00097388;0.002276439;0.002004222;0.008424251;0.008163698;0.010970708;0.010833506;0.007717463;0.007483532;0.008277651;0.007916934
